id;id_ccaa;destino;motivo;alojamiento_nivel1;alojamiento_nivel2;anio;viajes
158;1;Andalucía;Turismo de compras;Total;;2017;41200
160;1;Andalucía;Turismo de compras;Total;;2015;103191
171;1;Andalucía;Otros motivos de educación y formación;Total;;2024;165134
172;1;Andalucía;Otros motivos de educación y formación;Total;;2023;201536
174;1;Andalucía;Otros motivos de educación y formación;Total;;2021;252772
175;1;Andalucía;Otros motivos de educación y formación;Total;;2020;90578
176;1;Andalucía;Otros motivos de educación y formación;Total;;2019;136540
177;1;Andalucía;Otros motivos de educación y formación;Total;;2018;177050
178;1;Andalucía;Otros motivos de educación y formación;Total;;2017;212027
179;1;Andalucía;Otros motivos de educación y formación;Total;;2016;206503
180;1;Andalucía;Otros motivos de educación y formación;Total;;2015;212652
181;1;Andalucía;Salud;Total;;2024;457559
182;1;Andalucía;Salud;Total;;2023;248561
183;1;Andalucía;Salud;Total;;2022;278821
184;1;Andalucía;Salud;Total;;2021;372718
185;1;Andalucía;Salud;Total;;2020;229734
186;1;Andalucía;Salud;Total;;2019;390541
187;1;Andalucía;Salud;Total;;2018;316911
188;1;Andalucía;Salud;Total;;2017;394536
189;1;Andalucía;Salud;Total;;2016;295687
190;1;Andalucía;Salud;Total;;2015;330544
191;1;Andalucía;Motivos religiosos o peregrinaciones;Total;;2024;122325
192;1;Andalucía;Motivos religiosos o peregrinaciones;Total;;2023;108613
196;1;Andalucía;Motivos religiosos o peregrinaciones;Total;;2019;267283
197;1;Andalucía;Motivos religiosos o peregrinaciones;Total;;2018;118223
198;1;Andalucía;Motivos religiosos o peregrinaciones;Total;;2017;124557
200;1;Andalucía;Motivos religiosos o peregrinaciones;Total;;2015;124986
201;1;Andalucía;Otros;Total;;2024;734519
202;1;Andalucía;Otros;Total;;2023;960413
203;1;Andalucía;Otros;Total;;2022;753373
204;1;Andalucía;Otros;Total;;2021;817948
205;1;Andalucía;Otros;Total;;2020;385447
206;1;Andalucía;Otros;Total;;2019;875439
207;1;Andalucía;Otros;Total;;2018;827975
208;1;Andalucía;Otros;Total;;2017;752505
209;1;Andalucía;Otros;Total;;2016;729730
210;1;Andalucía;Otros;Total;;2015;771627
211;2;Aragón;Negocios y otros motivos profesionales;Total;;2024;419217
212;2;Aragón;Negocios y otros motivos profesionales;Total;;2023;568725
213;2;Aragón;Negocios y otros motivos profesionales;Total;;2022;513465
214;2;Aragón;Negocios y otros motivos profesionales;Total;;2021;471529
215;2;Aragón;Negocios y otros motivos profesionales;Total;;2020;363510
216;2;Aragón;Negocios y otros motivos profesionales;Total;;2019;502982
217;2;Aragón;Negocios y otros motivos profesionales;Total;;2018;662357
218;2;Aragón;Negocios y otros motivos profesionales;Total;;2017;932987
219;2;Aragón;Negocios y otros motivos profesionales;Total;;2016;851505
220;2;Aragón;Negocios y otros motivos profesionales;Total;;2015;563447
229;2;Aragón;Congresos, ferias y convenciones;Total;;2016;74817
231;2;Aragón;Desplazamiento al centro de trabajo;Total;;2024;104089
232;2;Aragón;Desplazamiento al centro de trabajo;Total;;2023;371549
233;2;Aragón;Desplazamiento al centro de trabajo;Total;;2022;281963
234;2;Aragón;Desplazamiento al centro de trabajo;Total;;2021;314927
235;2;Aragón;Desplazamiento al centro de trabajo;Total;;2020;265048
236;2;Aragón;Desplazamiento al centro de trabajo;Total;;2019;327194
237;2;Aragón;Desplazamiento al centro de trabajo;Total;;2018;474179
238;2;Aragón;Desplazamiento al centro de trabajo;Total;;2017;666615
239;2;Aragón;Desplazamiento al centro de trabajo;Total;;2016;393644
240;2;Aragón;Desplazamiento al centro de trabajo;Total;;2015;322976
241;2;Aragón;Otros motivos profesionales;Total;;2024;265253
242;2;Aragón;Otros motivos profesionales;Total;;2023;155793
243;2;Aragón;Otros motivos profesionales;Total;;2022;157810
244;2;Aragón;Otros motivos profesionales;Total;;2021;135961
245;2;Aragón;Otros motivos profesionales;Total;;2020;77525
246;2;Aragón;Otros motivos profesionales;Total;;2019;153530
247;2;Aragón;Otros motivos profesionales;Total;;2018;158730
248;2;Aragón;Otros motivos profesionales;Total;;2017;221313
249;2;Aragón;Otros motivos profesionales;Total;;2016;383045
250;2;Aragón;Otros motivos profesionales;Total;;2015;179480
251;2;Aragón;Motivos personales;Total;;2024;6311860
252;2;Aragón;Motivos personales;Total;;2023;6761155
253;2;Aragón;Motivos personales;Total;;2022;6951295
254;2;Aragón;Motivos personales;Total;;2021;5423813
255;2;Aragón;Motivos personales;Total;;2020;3640284
256;2;Aragón;Motivos personales;Total;;2019;6922928
257;2;Aragón;Motivos personales;Total;;2018;7389396
258;2;Aragón;Motivos personales;Total;;2017;7154904
259;2;Aragón;Motivos personales;Total;;2016;7160202
260;2;Aragón;Motivos personales;Total;;2015;6188251
261;2;Aragón;Ocio, recreo y vacaciones;Total;;2024;3636509
262;2;Aragón;Ocio, recreo y vacaciones;Total;;2023;3914885
263;2;Aragón;Ocio, recreo y vacaciones;Total;;2022;3935119
264;2;Aragón;Ocio, recreo y vacaciones;Total;;2021;2894816
265;2;Aragón;Ocio, recreo y vacaciones;Total;;2020;1917518
266;2;Aragón;Ocio, recreo y vacaciones;Total;;2019;4126710
267;2;Aragón;Ocio, recreo y vacaciones;Total;;2018;4155643
268;2;Aragón;Ocio, recreo y vacaciones;Total;;2017;4068311
269;2;Aragón;Ocio, recreo y vacaciones;Total;;2016;3487580
270;2;Aragón;Ocio, recreo y vacaciones;Total;;2015;2953465
281;2;Aragón;Turismo de naturaleza;Total;;2024;1163346
282;2;Aragón;Turismo de naturaleza;Total;;2023;1194028
283;2;Aragón;Turismo de naturaleza;Total;;2022;1335036
284;2;Aragón;Turismo de naturaleza;Total;;2021;1243544
285;2;Aragón;Turismo de naturaleza;Total;;2020;786096
286;2;Aragón;Turismo de naturaleza;Total;;2019;1251648
287;2;Aragón;Turismo de naturaleza;Total;;2018;940815
288;2;Aragón;Turismo de naturaleza;Total;;2017;884111
289;2;Aragón;Turismo de naturaleza;Total;;2016;792800
290;2;Aragón;Turismo de naturaleza;Total;;2015;915423
291;2;Aragón;Turismo cultural;Total;;2024;494474
292;2;Aragón;Turismo cultural;Total;;2023;474517
293;2;Aragón;Turismo cultural;Total;;2022;483367
294;2;Aragón;Turismo cultural;Total;;2021;354237
295;2;Aragón;Turismo cultural;Total;;2020;181836
