Destino principal;Concepto turístico;Alojamiento principal: Nivel 1;Alojamiento principal: Nivel 2;Motivo principal;Transporte principal;Forma de organización del viaje;Duración del viaje;Comunidad autónoma de residencia;Periodo;Total
02 Aragón;Viajes;De mercado;;Total;Total;Total;Total;Total;2017;2.469.990
02 Aragón;Viajes;De mercado;;Total;Total;Total;Total;Total;2016;2.412.357
02 Aragón;Viajes;De mercado;;Total;Total;Total;Total;Total;2015;2.005.098
02 Aragón;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2024;1.522.115
02 Aragón;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2023;1.502.609
02 Aragón;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2022;1.537.067
02 Aragón;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2021;1.198.922
02 Aragón;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2020;696.729
02 Aragón;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2019;1.589.430
02 Aragón;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2018;1.530.762
02 Aragón;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2017;1.326.398
02 Aragón;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2016;1.442.883
02 Aragón;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2015;1.234.516
02 Aragón;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2024;448.422
02 Aragón;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2023;429.335
02 Aragón;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2022;465.123
02 Aragón;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2021;312.546
02 Aragón;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2020;255.692
02 Aragón;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2019;423.144
02 Aragón;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2018;372.394
02 Aragón;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2017;362.914
02 Aragón;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2016;329.937
02 Aragón;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2015;172.663
02 Aragón;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2024;170.748
02 Aragón;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2023;305.722
02 Aragón;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2022;277.997
02 Aragón;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2021;183.209
02 Aragón;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2020;131.392
02 Aragón;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2019;208.639
02 Aragón;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2018;199.015
02 Aragón;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2017;138.308
02 Aragón;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2016;173.161
02 Aragón;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2015;197.811
02 Aragón;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2024;309.056
02 Aragón;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2023;318.708
02 Aragón;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2022;350.036
02 Aragón;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2021;242.223
