Destino principal;Concepto turístico;Alojamiento principal: Nivel 1;Alojamiento principal: Nivel 2;Motivo principal;Transporte principal;Forma de organización del viaje;Duración del viaje;Comunidad autónoma de residencia;Periodo;Total
01 Andalucía;Viajes;Total;;Desplazamiento al centro de estudios habitual;Total;Total;Total;Total;2016;""
01 Andalucía;Viajes;Total;;Desplazamiento al centro de estudios habitual;Total;Total;Total;Total;2015;""
01 Andalucía;Viajes;Total;;Otros motivos de educación y formación;Total;Total;Total;Total;2024;165.134
01 Andalucía;Viajes;Total;;Otros motivos de educación y formación;Total;Total;Total;Total;2023;201.536
01 Andalucía;Viajes;Total;;Otros motivos de educación y formación;Total;Total;Total;Total;2022;""
01 Andalucía;Viajes;Total;;Otros motivos de educación y formación;Total;Total;Total;Total;2021;252.772
01 Andalucía;Viajes;Total;;Otros motivos de educación y formación;Total;Total;Total;Total;2020;90.578
01 Andalucía;Viajes;Total;;Otros motivos de educación y formación;Total;Total;Total;Total;2019;136.540
01 Andalucía;Viajes;Total;;Otros motivos de educación y formación;Total;Total;Total;Total;2018;177.050
01 Andalucía;Viajes;Total;;Otros motivos de educación y formación;Total;Total;Total;Total;2017;212.027
01 Andalucía;Viajes;Total;;Otros motivos de educación y formación;Total;Total;Total;Total;2016;206.503
01 Andalucía;Viajes;Total;;Otros motivos de educación y formación;Total;Total;Total;Total;2015;212.652
01 Andalucía;Viajes;Total;;Salud;Total;Total;Total;Total;2024;457.559
01 Andalucía;Viajes;Total;;Salud;Total;Total;Total;Total;2023;248.561
01 Andalucía;Viajes;Total;;Salud;Total;Total;Total;Total;2022;278.821
01 Andalucía;Viajes;Total;;Salud;Total;Total;Total;Total;2021;372.718
01 Andalucía;Viajes;Total;;Salud;Total;Total;Total;Total;2020;229.734
01 Andalucía;Viajes;Total;;Salud;Total;Total;Total;Total;2019;390.541
01 Andalucía;Viajes;Total;;Salud;Total;Total;Total;Total;2018;316.911
01 Andalucía;Viajes;Total;;Salud;Total;Total;Total;Total;2017;394.536
01 Andalucía;Viajes;Total;;Salud;Total;Total;Total;Total;2016;295.687
01 Andalucía;Viajes;Total;;Salud;Total;Total;Total;Total;2015;330.544
01 Andalucía;Viajes;Total;;Motivos religiosos o peregrinaciones;Total;Total;Total;Total;2024;122.325
01 Andalucía;Viajes;Total;;Motivos religiosos o peregrinaciones;Total;Total;Total;Total;2023;108.613
01 Andalucía;Viajes;Total;;Motivos religiosos o peregrinaciones;Total;Total;Total;Total;2022;""
01 Andalucía;Viajes;Total;;Motivos religiosos o peregrinaciones;Total;Total;Total;Total;2021;""
01 Andalucía;Viajes;Total;;Motivos religiosos o peregrinaciones;Total;Total;Total;Total;2020;""
01 Andalucía;Viajes;Total;;Motivos religiosos o peregrinaciones;Total;Total;Total;Total;2019;267.283
01 Andalucía;Viajes;Total;;Motivos religiosos o peregrinaciones;Total;Total;Total;Total;2018;118.223
01 Andalucía;Viajes;Total;;Motivos religiosos o peregrinaciones;Total;Total;Total;Total;2017;124.557
01 Andalucía;Viajes;Total;;Motivos religiosos o peregrinaciones;Total;Total;Total;Total;2016;""
01 Andalucía;Viajes;Total;;Motivos religiosos o peregrinaciones;Total;Total;Total;Total;2015;124.986
01 Andalucía;Viajes;Total;;Otros;Total;Total;Total;Total;2024;734.519
01 Andalucía;Viajes;Total;;Otros;Total;Total;Total;Total;2023;960.413
01 Andalucía;Viajes;Total;;Otros;Total;Total;Total;Total;2022;753.373
01 Andalucía;Viajes;Total;;Otros;Total;Total;Total;Total;2021;817.948
